Semiconductors,gap
Cu2Cd1Ge1S4_kesterite,0.89
Cu2Cd1Ge1S4_stannite,0.84
Cu2Cd1Ge1Se4_kesterite,0.89
Cu2Cd1Ge1Se4_stannite,0.84
Cu2Cd1Ge1Te4_kesterite,0.37
Cu2Cd1Ge1Te4_stannite,0.47
Cu2Cd1Sn1S4_kesterite,1.19
Cu2Cd1Sn1S4_stannite,1.17
Cu2Cd1Sn1Se4_kesterite,0.58
Cu2Cd1Sn1Se4_stannite,0.58
Cu2Cd1Sn1Te4_kesterite,0.35
Cu2Cd1Sn1Te4_stannite,0.46
Cu2Mg1Ge1S4_kesterite,1.67
Cu2Mg1Ge1S4_stannite,1.61
Cu2Mg1Ge1Se4_kesterite,0.99
Cu2Mg1Ge1Se4_stannite,0.96
Cu2Mg1Ge1Te4_kesterite,0.63
Cu2Mg1Ge1Te4_stannite,0.75
Cu2Mg1Sn1S4_kesterite,1.63
Cu2Mg1Sn1S4_stannite,1.62
Cu2Mg1Sn1Se4_kesterite,1.01
Cu2Mg1Sn1Se4_stannite,0.97
Cu2Mg1Sn1Te4_kesterite,0.64
Cu2Mg1Sn1Te4_stannite,0.75
Cu2Sr1Ge1S4_kesterite,1.57
Cu2Sr1Ge1S4_stannite,1.83
Cu2Sr1Ge1Se4_kesterite,0.9
Cu2Sr1Ge1Se4_stannite,1.49
Cu2Sr1Ge1Te4_kesterite,0.46
Cu2Sr1Ge1Te4_stannite,1.36
Cu2Sr1Sn1S4_kesterite,1.56
Cu2Sr1Sn1S4_stannite,1.77
Cu2Sr1Sn1Se4_kesterite,0.9
Cu2Sr1Sn1Se4_stannite,1.41
Cu2Sr1Sn1Te4_kesterite,0.46
Cu2Sr1Sn1Te4_stannite,1.36
Cu2Zn1Ge1S4_kesterite,1.45
Cu2Zn1Ge1S4_stannite,1.28
Cu2Zn1Ge1Se4_kesterite,0.78
Cu2Zn1Ge1Se4_stannite,0.59
Cu2Zn1Ge1Te4_kesterite,0.52
Cu2Zn1Ge1Te4_stannite,0.35
Cu2Zn1Sn0.25Zr0.75S2Se2_kesterite,2.1
Cu2Zn1Sn0.25Zr0.75S2Se2_stannite,1.26
Cu2Zn1Sn0.25Zr0.75S4_kesterite,2.31
Cu2Zn1Sn0.25Zr0.75S4_stannite,1.62
Cu2Zn1Sn0.25Zr0.75Se4_kesterite,1.7
Cu2Zn1Sn0.25Zr0.75Se4_stannite,1.67
Cu2Zn1Sn0.5Zr0.5S2Se2_kesterite,1.52
Cu2Zn1Sn0.5Zr0.5S2Se2_stannite,1.26
Cu2Zn1Sn0.5Zr0.5S4_kesterite,1.84
Cu2Zn1Sn0.5Zr0.5S4_stannite,1.66
Cu2Zn1Sn0.5Zr0.5Se4_kesterite,1.32
Cu2Zn1Sn0.5Zr0.5Se4_stannite,1.14
Cu2Zn1Sn0.75Zr0.25S2Se2_kesterite,1.3
Cu2Zn1Sn0.75Zr0.25S2Se2_stannite,1.03
Cu2Zn1Sn0.75Zr0.25S4_kesterite,1.58
Cu2Zn1Sn0.75Zr0.25S4_stannite,1.41
Cu2Zn1Sn0.75Zr0.25Se4_kesterite,1.07
Cu2Zn1Sn0.75Zr0.25Se4_stannite,0.89
Cu2Zn1Sn1S2Se2_kesterite,0.98
Cu2Zn1Sn1S2Se2_stannite,0.92
Cu2Zn1Sn1S4_kesterite,1.24
Cu2Zn1Sn1S4_stannite,1.1
Cu2Zn1Sn1Se4_kesterite,0.77
Cu2Zn1Sn1Se4_stannite,0.57
Cu2Zn1Sn1Te4_kesterite,0.52
Cu2Zn1Sn1Te4_stannite,0.35
Cu2Zn1Zr1S2Se2_kesterite,1.64
Cu2Zn1Zr1S2Se2_stannite,1.85
Cu2Zn1Zr1S4_kesterite,1.72
Cu2Zn1Zr1S4_stannite,1.66
Cu2Zn1Zr1Se4_kesterite,1.54
Cu2Zn1Zr1Se4_stannite,1.5
K0.5Ag0.5Al0.5Ga0.5S1Te1_kesterite,1.74
K0.5Ag0.5Al0.5Ga0.5S1Te1_stannite,0.61
K0.5Ag0.5Al0.5In0.5S2_kesterite,2.39
K0.5Ag0.5Al1S1Te1_kesterite,2.45
K0.5Ag0.5Al1S1Te1_stannite,0.87
K0.5Ag0.5Al1S2_kesterite,3.41
K0.5Ag0.5Al1Se1Te1_kesterite,2.16
K0.5Ag0.5Al1Se1Te1_stannite,0.88
K0.5Ag0.5Ga0.5In0.5S1Se1_kesterite,1.79
K0.5Ag0.5Ga0.5In0.5S1Se1_stannite,1.32
K0.5Ag0.5Ga0.5In0.5Se1Te1_kesterite,1.3
K0.5Ag0.5Ga0.5In0.5Se1Te1_stannite,0.48
K0.5Ag0.5Ga0.5In0.5Se2_kesterite,1.57
K0.5Ag0.5Ga0.5In0.5Se2_stannite,0.88
K0.5Ag0.5In1S1Te1_kesterite,1.46
K0.5Ag0.5In1S1Te1_stannite,0.61
K0.5Ag0.5In1Te2_kesterite,1.11
K0.5Cs0.5Al0.5Ga0.5S1Se1_kesterite,3.67
K0.5Cs0.5Al0.5Ga0.5S1Se1_stannite,1.44
K0.5Cs0.5Al0.5Ga0.5S1Te1_kesterite,2.72
K0.5Cs0.5Al0.5Ga0.5S1Te1_stannite,0.51
K0.5Cs0.5Al0.5Ga0.5S2_kesterite,4.1
K0.5Cs0.5Al0.5Ga0.5Se2_kesterite,2.98
K0.5Cs0.5Al0.5Ga0.5Se2_stannite,1.62
K0.5Cs0.5Al0.5In0.5S1Se1_kesterite,3.17
K0.5Cs0.5Al0.5In0.5S1Se1_stannite,1.53
K0.5Cs0.5Al0.5In0.5Se1Te1_kesterite,2.36
K0.5Cs0.5Al0.5In0.5Se1Te1_stannite,0.73
K0.5Cs0.5Al0.5In0.5Te2_kesterite,2.17
K0.5Cs0.5Al0.5In0.5Te2_stannite,0.89
K0.5Cs0.5Al1S2_kesterite,4.45
